project_id,client_name,clearance_start_date
MAN 100114,luuu12,2026-03-07
MAN 100115,markosfotiou,2026-03-06
MAN 100118,paulyaccuate,2026-03-07
MAN 100130,xontrippe,2026-03-07
MAN 100131,joshbliss222,2026-04-10
MAN 100132,andy1857,2026-04-13
MAN 100157,spinqueen85,2026-03-21
MAN 100158,mournerslament,2026-04-09
chefdevagi,chefdevagi,2026-03-17
MAN 100190,mauriciozavala,2026-03-14
MAN 406886,sethredden,2026-04-09
