project_id,client_name,clearance_start_date
MAN 100167,polo_canard,2026-03-14
MAN 100181,williamfrost21,2026-04-19
MAN 236121,jonlinn,2026-03-28
MAN 855024,aultnagar,2026-04-09
MAN 713374,cooper_purvis,2026-04-21
MAN 138801,itskaraholmes,2026-04-05
MAN 844543,obengtruth,2026-03-24
MAN 900063,harvocker,2026-04-11
MAN 685402,resat609,2026-04-17
MAN 123588,Brad Labelle,2026-04-13
MAN 492146,craftedstrands1,2026-04-08
